#parameters of run: 
#Number of Sensors 5
#Sensor Range: 20
#POI: 441
#Sensor for file: C:/Users/PC/Desktop/AD HOc/GUI3/FILES/WSN-5d.txt
Sensor states for file: not appiled
#id q    s    1 2 3 4 5   q1   q2   q3   q4   q5 ...
0 0.0  0    00000   0.0  0.0  0.0  0.0  0.0
1 0.13  1    00001   0.0  0.2  0.0  0.2  1.0
2 0.13  2    00010   0.0  0.0  0.0  1.0  0.2
3 0.23  3    00011   0.0  0.2  0.0  1.0  1.0
4 0.13  4    00100   0.0  0.2  1.0  0.0  0.0
5 0.26  5    00101   0.0  0.4  1.0  0.2  1.0
6 0.26  6    00110   0.0  0.2  1.0  1.0  0.2
7 0.36  7    00111   0.0  0.4  1.0  1.0  1.0
8 0.13  8    01000   0.1  1.0  0.2  0.0  0.2
9 0.23  9    01001   0.1  1.0  0.2  0.2  1.0
10 0.26  10    01010   0.1  1.0  0.2  1.0  0.4
11 0.34  11    01011   0.1  1.0  0.2  1.0  1.0
12 0.23  12    01100   0.1  1.0  1.0  0.0  0.2
13 0.34  13    01101   0.1  1.0  1.0  0.2  1.0
14 0.36  14    01110   0.1  1.0  1.0  1.0  0.4
15 0.44  15    01111   0.1  1.0  1.0  1.0  1.0
16 0.1  16    10000   0.7  0.1  0.0  0.0  0.0
17 0.22  17    10001   0.7  0.3  0.0  0.2  1.0
18 0.22  18    10010   0.7  0.1  0.0  1.0  0.2
19 0.33  19    10011   0.7  0.3  0.0  1.0  1.0
20 0.22  20    10100   0.7  0.3  1.0  0.0  0.0
21 0.35  21    10101   0.7  0.5  1.0  0.2  1.0
22 0.35  22    10110   0.7  0.3  1.0  1.0  0.2
23 0.46  23    10111   0.7  0.5  1.0  1.0  1.0
24 0.21  24    11000   0.7  1.0  0.2  0.0  0.2
25 0.32  25    11001   0.7  1.0  0.2  0.2  1.0
26 0.34  26    11010   0.7  1.0  0.2  1.0  0.4
27 0.42  27    11011   0.7  1.0  0.2  1.0  1.0
28 0.32  28    11100   0.7  1.0  1.0  0.0  0.2
29 0.42  29    11101   0.7  1.0  1.0  0.2  1.0
30 0.44  30    11110   0.7  1.0  1.0  1.0  0.4
31 0.52  31    11111   0.7  1.0  1.0  1.0  1.0
