#parameters of run: 
#Number of Sensors 5
#Sensor Range: 35
#POI: 441
#Sensor for file: C:/Users/PC/Desktop/AD HOc/GUI3/FILES/WSN-5d.txt
Sensor states for file: not appiled
#id q    s    1 2 3 4 5   q1   q2   q3   q4   q5 ...
0 0.0  0    00000   0.0  0.0  0.0  0.0  0.0
1 0.35  1    00001   0.1  0.3  0.5  0.3  1.0
2 0.35  2    00010   0.3  0.1  0.5  1.0  0.3
3 0.58  3    00011   0.4  0.4  0.8  1.0  1.0
4 0.37  4    00100   0.5  0.5  1.0  0.5  0.5
5 0.53  5    00101   0.5  0.6  1.0  0.6  1.0
6 0.53  6    00110   0.6  0.5  1.0  1.0  0.6
7 0.67  7    00111   0.6  0.6  1.0  1.0  1.0
8 0.35  8    01000   0.3  1.0  0.5  0.1  0.3
9 0.58  9    01001   0.4  1.0  0.8  0.4  1.0
10 0.66  10    01010   0.6  1.0  0.9  1.0  0.6
11 0.8  11    01011   0.6  1.0  1.0  1.0  1.0
12 0.53  12    01100   0.6  1.0  1.0  0.5  0.6
13 0.67  13    01101   0.6  1.0  1.0  0.6  1.0
14 0.69  14    01110   0.6  1.0  1.0  1.0  0.6
15 0.82  15    01111   0.6  1.0  1.0  1.0  1.0
16 0.35  16    10000   1.0  0.3  0.5  0.3  0.1
17 0.66  17    10001   1.0  0.6  0.9  0.6  1.0
18 0.58  18    10010   1.0  0.4  0.8  1.0  0.4
19 0.8  19    10011   1.0  0.6  1.0  1.0  1.0
20 0.53  20    10100   1.0  0.6  1.0  0.6  0.5
21 0.69  21    10101   1.0  0.6  1.0  0.6  1.0
22 0.67  22    10110   1.0  0.6  1.0  1.0  0.6
23 0.82  23    10111   1.0  0.6  1.0  1.0  1.0
24 0.58  24    11000   1.0  1.0  0.8  0.4  0.4
25 0.8  25    11001   1.0  1.0  1.0  0.6  1.0
26 0.8  26    11010   1.0  1.0  1.0  1.0  0.6
27 0.95  27    11011   1.0  1.0  1.0  1.0  1.0
28 0.67  28    11100   1.0  1.0  1.0  0.6  0.6
29 0.82  29    11101   1.0  1.0  1.0  0.6  1.0
30 0.82  30    11110   1.0  1.0  1.0  1.0  0.6
31 0.95  31    11111   1.0  1.0  1.0  1.0  1.0
